name,country,id,height,ranking_B,events_B,rounds_B,semis_B,finals_B,gold_B,silver_B,bronze_B,tops,zones,top_attempts,zone_attempts,boulders_attempted,top_rate,ranking_per_event_B
Dmitrijus  Monastyreckis,LTU,6244,,11.0,4,4,0,0,0,0,0,1,10,2,34,20,0.05,2.75
Vitalii Lagutin,UKR,4823,,11.0,2,2,0,0,0,0,0,1,7,1,24,10,0.1,5.5
Florent Samyn,FRA,5677,,11.0,2,2,0,0,0,0,0,2,6,3,10,10,0.2,5.5
Diego Lopez Montull,MEX,6175,,11.0,2,2,0,0,0,0,0,0,4,0,8,10,0.0,5.5
Ben Hoberg,USA,6128,,11.0,1,1,0,0,0,0,0,0,2,0,2,5,0.0,11.0
Cesar Grosso,BRA,3136,,11.0,5,5,0,0,0,0,0,4,12,11,37,25,0.16,2.2
Soma Strommer,HUN,2179,,10.91,5,5,0,0,0,0,0,2,15,3,37,25,0.08,2.182
Nikita Devyaterikov,KAZ,3359,,10.83,2,2,0,0,0,0,0,0,0,0,0,10,0.0,5.415
Aleksei Shchervianin,RUS,69,,10.82,2,2,0,0,0,0,0,2,3,5,5,10,0.2,5.41
Nimród Sebestyén Tusnády ,HUN,2201,,10.66,4,4,0,0,0,0,0,3,11,11,35,20,0.15,2.665
Juan O Raw,IRL,6339,,10.5,1,1,0,0,0,0,0,1,3,1,6,5,0.2,10.5
Arturo Campos Salvador,ESP,767,,10.5,1,1,0,0,0,0,0,2,2,5,5,5,0.4,10.5
Yulianto Abudzar,INA,3258,,10.5,1,1,0,0,0,0,0,1,1,3,1,5,0.2,10.5
Ricardo Morelli,GER,6196,,10.5,1,1,0,0,0,0,0,2,3,3,4,5,0.4,10.5
Marco Gozzi,ITA,874,,10.5,1,1,0,0,0,0,0,1,4,1,6,5,0.2,10.5
Rob Hunter,IRL,2589,,10.5,1,1,0,0,0,0,0,0,2,0,7,5,0.0,10.5
Sergey Ivanov,RUS,4873,,10.5,1,1,0,0,0,0,0,0,2,0,5,5,0.0,10.5
Roland Wagner,AUT,5291,,10.0,1,1,0,0,0,0,0,3,4,7,8,5,0.6,10.0
Bogdan Micu,ROU,4811,,10.0,4,4,0,0,0,0,0,0,7,0,19,20,0.0,2.5
Dominik Leinenbach,GER,6279,,10.0,2,2,0,0,0,0,0,3,5,11,12,10,0.3,5.0
Petr Handlir,CZE,6329,,10.0,2,2,0,0,0,0,0,1,3,1,8,10,0.1,5.0
Lukas Franckaert,BEL,336,,10.0,3,3,0,0,0,0,0,4,11,16,44,15,0.26666666666666666,3.3333333333333335
Rodrigo Iasi Hanada,BRA,12903,,10.0,5,5,0,0,0,0,0,2,7,8,36,25,0.08,2.0
Dalton Bunker,USA,1799,,10.0,1,1,0,0,0,0,0,0,3,0,13,5,0.0,10.0
Isaac Estevez ,ECU,3208,,9.5,1,1,0,0,0,0,0,0,1,0,1,5,0.0,9.5
Akin Taskiran,TUR,6003,,9.5,2,2,0,0,0,0,0,0,2,0,7,10,0.0,4.75
Kentin Boulay,FRA,480,,9.5,2,2,0,0,0,0,0,1,5,2,10,10,0.1,4.75
Roman Batsenko,UKR,1496,179.0,9.5,8,8,0,0,0,0,0,1,15,3,47,40,0.025,1.1875
Emiliyan Kolevski,BUL,6333,,9.5,3,3,0,0,0,0,0,1,4,2,7,15,0.06666666666666667,3.1666666666666665
Truong Ngo,NED,4901,,9.1,2,2,0,0,0,0,0,1,5,4,6,10,0.1,4.55
Michele Bono,ITA,989,,9.0,1,1,0,0,0,0,0,1,5,11,17,5,0.2,9.0
Evgeny Bashkirtsev,RUS,5271,,9.0,1,1,0,0,0,0,0,0,1,0,2,5,0.0,9.0
Ben Meeks,GBR,5792,,9.0,2,2,0,0,0,0,0,0,2,0,4,10,0.0,4.5
Slav Kirov,BUL,11500,,9.0,2,2,0,0,0,0,0,3,6,15,19,10,0.3,4.5
Jaime Hendrik Quintana,PER,6252,,9.0,1,1,0,0,0,0,0,0,2,0,3,5,0.0,9.0
Juraj Ravas,SVK,6055,,9.0,4,4,0,0,0,0,0,1,9,1,16,20,0.05,2.25
David Leandro Saikin,ARG,6117,,9.0,3,3,0,0,0,0,0,3,10,13,26,15,0.2,3.0
Elias Iagnemma,ITA,926,,9.0,3,3,0,0,0,0,0,4,6,19,17,15,0.26666666666666666,3.0
Alexander Shoprin,RUS,5684,,9.0,1,1,0,0,0,0,0,3,4,6,7,5,0.6,9.0
Denis Zhendinskiy,KAZ,4874,,9.0,1,1,0,0,0,0,0,0,2,0,9,5,0.0,9.0
Edrick Freyria,MEX,5826,,9.0,1,1,0,0,0,0,0,0,0,0,0,5,0.0,9.0
Olivier Mignon,BEL,4898,,8.66,1,1,0,0,0,0,0,0,3,0,6,5,0.0,8.66
Pawel Pietrzak,POL,6341,,8.66,1,1,0,0,0,0,0,1,4,2,6,5,0.2,8.66
Julien Forgue,FRA,6340,,8.66,1,1,0,0,0,0,0,0,2,0,2,5,0.0,8.66
Chun-Hsiang Wang,TPE,2149,,8.57,7,7,0,0,0,0,0,0,4,0,9,35,0.0,1.2242857142857144
Santiago Schmidt,ARG,3159,,8.5,3,3,0,0,0,0,0,1,6,2,19,15,0.06666666666666667,2.8333333333333335
Alexander Khopko,RUS,5175,,8.5,1,1,0,0,0,0,0,0,1,0,5,5,0.0,8.5
Yaroslav Shafranskyi,UKR,5945,,8.5,1,1,0,0,0,0,0,0,1,0,5,5,0.0,8.5
Abhishek Mehta,IND,2656,,8.5,1,1,0,0,0,0,0,0,2,0,4,5,0.0,8.5
Maciej Dobrzanski,POL,2840,,8.5,3,3,0,0,0,0,0,0,6,0,24,15,0.0,2.8333333333333335
Lokesh Ranjan,IND,2632,,8.5,1,1,0,0,0,0,0,0,1,0,5,5,0.0,8.5
Surjit Singh Kangujam,IND,2622,,8.5,1,1,0,0,0,0,0,0,2,0,4,5,0.0,8.5
Ronny Escobar,CHI,3901,,8.33,5,5,0,0,0,0,0,1,7,3,26,25,0.04,1.666
Teeraphon Boondech,THA,3938,,8.25,2,2,0,0,0,0,0,0,3,0,11,10,0.0,4.125
