,name,country,id,height,ranking_B,events_B,rounds_B,semis_B,finals_B,gold_B,silver_B,bronze_B,tops,zones,top_attempts,zone_attempts,boulders_attempted,top_percentage,ranking_per_event_B
129,Ai Mori,JPN,2380,,895.5,3,5,1,1,0,0,1,14,20,34,48,23,0.6086956521739131,298.5
130,Tamara Ulzhabayeva,KAZ,3357,,893.0,11,14,3,0,0,0,0,20,45,44,109,67,0.29850746268656714,81.18181818181819
131,Jennifer Wood,GBR,653,,868.08,23,24,1,0,0,0,0,33,74,92,191,119,0.2773109243697479,37.74260869565217
132,Petra Ruzickova,CZE,1375,,864.3299999999999,21,22,1,0,0,0,0,34,71,91,192,109,0.3119266055045872,41.15857142857143
133,Kaori Hosono,JPN,6309,,863.49,12,14,2,0,0,0,0,11,37,22,64,68,0.16176470588235295,71.9575
134,Urska Repusic,SLO,1164,,855.25,8,11,3,0,0,0,0,21,35,57,86,52,0.40384615384615385,106.90625
135,Katy Whittaker,GBR,5670,,843.5,6,9,3,0,0,0,0,14,33,20,77,42,0.3333333333333333,140.58333333333334
136,Ashima Shiraishi,USA,1812,155.0,834.0,6,7,1,0,0,0,0,16,24,26,43,34,0.47058823529411764,139.0
137,Sandrine Levet,FRA,430,,825.0,2,5,2,1,0,0,0,15,18,34,33,22,0.6818181818181818,412.5
138,Katarzyna Ekwinska,POL,2850,,819.16,13,14,1,0,0,0,0,20,51,54,129,69,0.2898550724637681,63.01230769230769
139,Magali Hayen,BEL,4762,,816.66,16,16,0,0,0,0,0,26,55,51,93,80,0.325,51.04125
140,Roxana Wienand,GER,4320,162.0,814.16,11,13,2,0,0,0,0,24,48,57,148,63,0.38095238095238093,74.01454545454546
141,Marine Delpierre,FRA,4768,,810.5,6,8,2,0,0,0,0,9,25,16,48,38,0.23684210526315788,135.08333333333334
142,Maya Madere,USA,1824,168.0,809.8299999999999,15,17,2,0,0,0,0,21,55,40,136,83,0.25301204819277107,53.98866666666666
143,Tabea Schwab,SUI,3887,,800.5,15,16,1,0,0,0,0,24,51,53,98,79,0.3037974683544304,53.36666666666667
144,Aika Tajima,JPN,2287,,777.0,4,5,1,0,0,0,0,12,20,17,34,24,0.5,194.25
145, Ayari Sakamoto,JPN,2339,,775.0,6,8,2,0,0,0,0,13,25,19,44,38,0.34210526315789475,129.16666666666666
146,Emilie Verdier,FRA,4699,,773.5,6,9,3,0,0,0,0,20,34,28,48,42,0.47619047619047616,128.91666666666666
147,Valeri Kremer,ISR,3979,,770.8199999999999,22,23,1,0,0,0,0,33,69,126,242,114,0.2894736842105263,35.03727272727272
148,Iuliia Panteleeva,RUS,118,,770.0,11,13,2,0,0,0,0,22,49,48,103,63,0.3492063492063492,70.0
149,Leonie Lochner,GER,2018,,755.0,12,12,0,0,0,0,0,11,37,44,101,60,0.18333333333333332,62.916666666666664
150,Audrey Seguy,GBR,5630,,749.5,5,7,2,0,0,0,0,17,27,31,59,33,0.5151515151515151,149.9
151,Maëlys Agrapart,FRA,535,,746.3299999999999,10,12,2,0,0,0,0,24,39,67,95,58,0.41379310344827586,74.633
152,Emilie Abgrall,FRA,5040,,739.5,4,6,2,0,0,0,0,14,22,28,32,28,0.5,184.875
153,Claire Buhrfeind,USA,1751,,721.5,8,11,3,0,0,0,0,17,34,43,92,52,0.3269230769230769,90.1875
154,Manon Hily,FRA,462,154.0,714.5,9,11,2,0,0,0,0,26,37,67,84,53,0.49056603773584906,79.38888888888889
155,Samantha Berry,AUS,4759,,710.16,5,8,3,0,0,0,0,15,29,25,38,37,0.40540540540540543,142.03199999999998
156,Anon Matsufuji,JPN,12297,160.0,706.5,4,6,1,1,0,0,0,13,25,36,57,28,0.4642857142857143,176.625
157,Thirza Carpenter,CAN,4814,,705.0,3,6,3,0,0,0,0,10,19,14,24,27,0.37037037037037035,235.0
158,Irina Kuzmenko,RUS,87,171.0,693.0,8,10,2,0,0,0,0,17,31,57,92,48,0.3541666666666667,86.625
